size,result,time_us
56, -5.591112e+21, 26940
82, -2.507529e+40, 82195
35, -3.896800e+09, 7185
50, -3.655476e+19, 19507
9, -0.931310, 244
30, 338509233.151258, 4709
52, -3.754634e+20, 21724
9, -0.337038, 239
20, -17869.927590, 1667
76, -2.027316e+36, 65572
36, -1.708350e+09, 7668
65, 3.528204e+29, 41657
66, 8.302958e+29, 43523
12, -2.608245, 433
30, 424812153.711710, 4718
26, 2667857.386651, 3279
85, -2.239904e+43, 91292
7, -1.821493, 177
68, 4.255742e+30, 47323
68, 5.062387e+31, 47378
12, -8.245217, 403
13, -266.814084, 437
45, 1.877250e+17, 14447
8, -2.948258, 207
33, -1.524706e+09, 6126
98, -1.194854e+52, 138906
92, 2.289291e+47, 115130
40, -1.384640e+12, 10301
87, 8.890893e+44, 97741
55, 2.225813e+22, 25630
48, -1.169252e+19, 17266
32, -2.174281e+10, 5540
15, 3.938049, 684
14, -97.382165, 530
86, 5.103349e+43, 94495
46, -3.095938e+16, 15418
53, -1.909161e+21, 23095
31, -42647018.893179, 5183
88, 1.074477e+44, 100954
90, 4.270115e+46, 108065
39, -1.610559e+13, 9653
60, 2.969418e+25, 32903
80, -2.832017e+40, 76255
87, 1.082830e+44, 97747
42, 1.101816e+13, 11924
56, -4.442616e+22, 26951
64, 5.654942e+28, 39704
29, 86843918.141020, 4364
19, 1041.070410, 1548
44, -1.914449e+16, 13458
88, -9.694449e+44, 100981
17, 847.926049, 1270
14, 72.707029, 567
96, 5.251094e+49, 130502
43, -2.638402e+16, 12717
19, 2626.634329, 1571
66, -1.159155e+30, 43527
67, -3.830853e+30, 45461
40, -6.570301e+13, 10277
40, 4.697432e+12, 10264
57, 5.163260e+21, 28479
25, -1996615.146381, 3002
87, 6.189828e+44, 97752
97, -3.494486e+52, 134774
19, 6592.195872, 1581
92, -1.782019e+48, 115114
58, 1.837768e+23, 29938
18, -318.600979, 1426
55, -6.102799e+21, 25604
33, 7.834259e+09, 6145
87, 1.205479e+44, 97745
100, 2.184726e+54, 147257
54, 1.054127e+22, 24335
13, 0.992380, 484
75, -2.819954e+35, 63222
79, -3.503153e+39, 73636
57, 2.281763e+24, 28479
89, 4.519921e+46, 104566
71, 1.518154e+32, 53864
89, -1.420207e+45, 104573
33, 356581369.635156, 6142
47, 4.744663e+15, 16298
52, -7.297148e+20, 21755
21, 16039.110953, 1969
33, -1.099165e+09, 6109
65, -1.428417e+29, 41710
91, -1.572006e+47, 111603
44, 1.015426e+15, 13488
21, -86928.350824, 1961
15, 32.927531, 673
23, -32768.332679, 2362
53, -1.791987e+21, 23056
94, 5.341079e+49, 122797
29, 776350012.612468, 4370
61, -7.178568e+25, 34572
40, 3.338904e+14, 10303
55, 1.389757e+22, 25620
50, -5.154197e+18, 19529
68, -9.367198e+30, 47386
15, 62.201096, 686
27, 44571134.719810, 3594
94, 2.608973e+50, 122786
34, -1.997744e+11, 6657
82, -1.825195e+41, 82181
21, 45124.700183, 1961
75, -2.491501e+36, 63220
67, -6.685115e+31, 45484
59, -2.545529e+24, 31408
54, 2.076607e+22, 24341
45, -1.358535e+14, 14428
19, -304.268589, 1572
61, -3.157803e+25, 34577
51, 7.916300e+19, 20670
65, 7.898567e+28, 41646
14, -112.879977, 582
55, 7.404269e+22, 25617
6, -0.080208, 150
30, 107338674.662172, 4699
