––––––––––––––––– TESTING ALGORITHM –––––––––––––––––

SOURCE = 

[ 0.380002, -0.243142, -0.319746]

[0.0108368, -0.484536,  0.687704]

[ 0.182981, -0.585236, -0.862444]

[ 0.109570,  0.252524, -0.180186]

Q = 

[ -0.871769,   0.151698,   0.293328,  -0.361890]
52,32,2830,4.960791e-06

32,52,5019,6.634476e-06

52,34,3099,6.067828e-06

34,52,5588,7.147014e-06

52,36,3352,6.204281e-06

36,52,5900,6.813763e-06

52,38,3600,6.151737e-06

38,52,6450,7.774864e-06

52,40,3894,6.281511e-06

40,52,6726,7.238396e-06

52,42,4170,6.791728e-06

42,52,7384,7.793456e-06

52,44,4454,6.786402e-06

44,52,7657,7.895379e-06

52,46,4749,7.351043e-06

46,52,8298,8.221073e-06

52,48,5019,7.328050e-06

48,52,8567,8.172498e-06

52,50,9219,8.186796e-06

50,52,9329,9.070819e-06

52,52,9506,8.469568e-06

54,20,1530,3.604123e-06

20,54,2993,5.137706e-06

54,22,1732,4.459319e-06

22,54,3238,6.062535e-06

54,24,1957,4.114235e-06

24,54,3632,6.017447e-06

54,26,2203,4.348375e-06

26,54,4015,5.768004e-06

54,28,2432,5.001528e-06

28,54,4466,6.383528e-06

54,30,2773,5.563340e-06

30,54,4798,6.104154e-06

54,32,2930,5.586994e-06

32,54,5289,6.948887e-06

54,34,3206,5.599759e-06

34,54,5679,7.018075e-06

54,36,3467,6.225175e-06

36,54,6218,7.795364e-06

54,38,3763,6.043941e-06

38,54,6559,7.454823e-06

54,40,4049,7.167831e-06

40,54,7130,7.515679e-06

54,42,4372,7.396427e-06

42,54,7518,7.882071e-06

54,44,4649,6.768649e-06

44,54,8158,8.242290e-06

54,46,4927,7.298950e-06

46,54,8534,8.400001e-06

54,48,5246,7.589496e-06

48,54,9147,9.051724e-06

54,50,9565,8.695427e-06

50,54,9938,8.933973e-06

54,52,9839,8.852189e-06

52,54,10358,9.106126e-06

54,54,10509,8.389158e-06

56,20,1574,3.679857e-06

20,56,2994,5.668252e-06

56,22,1786,4.002975e-06

22,56,3406,5.563817e-06

56,24,2029,4.540872e-06

24,56,3680,5.890214e-06

56,26,2248,4.825342e-06

26,56,4213,6.711308e-06

56,28,2504,5.475918e-06

28,56,4522,5.881094e-06

56,30,2768,5.425281e-06

30,56,5026,6.687594e-06

56,32,3163,5.833781e-06

32,56,5468,7.475850e-06

56,34,3318,6.356865e-06

34,56,5984,8.249810e-06

56,36,3606,6.414754e-06

36,56,6332,7.817138e-06

56,38,3912,6.280760e-06

38,56,6932,7.430717e-06

56,40,4304,6.620870e-06

40,56,7248,7.790352e-06

56,42,4517,7.072829e-06

42,56,7966,9.027174e-06

56,44,4837,7.778478e-06

44,56,8285,8.183498e-06

56,46,5151,7.271406e-06

46,56,8969,8.185019e-06

56,48,5465,7.796805e-06

48,56,9323,8.353499e-06

56,50,9863,8.273046e-06

50,56,10120,9.620683e-06

56,52,10280,9.042823e-06

52,56,10643,1.010143e-05

56,54,10852,9.089636e-06

54,56,10973,9.724834e-06

56,56,11112,9.341690e-06

58,22,1851,4.029813e-06

22,58,3452,5.580773e-06

58,24,2133,4.291996e-06

24,58,3869,5.718892e-06

58,26,2338,4.417757e-06

26,58,4263,7.128890e-06

58,28,2584,4.869627e-06

28,58,4784,7.119450e-06

58,30,2871,5.870537e-06

30,58,5123,7.356632e-06

58,32,3152,5.680839e-06

32,58,5629,7.068760e-06

58,34,3444,5.958687e-06

34,58,6096,7.041695e-06

58,36,3823,6.196809e-06

36,58,6676,8.158406e-06

58,38,4050,6.394318e-06

38,58,7049,7.975545e-06

58,40,4379,6.513734e-06

40,58,7660,8.519104e-06

58,42,4690,6.987656e-06

42,58,8095,8.537630e-06

58,44,5018,7.340278e-06

44,58,8784,8.894373e-06

58,46,5350,8.142156e-06

46,58,9214,9.569132e-06

58,48,5690,7.662097e-06

48,58,9847,9.200686e-06

58,50,10175,8.580285e-06

50,58,10722,9.601617e-06

58,52,10548,8.597071e-06

52,58,11166,9.062159e-06

58,54,11194,9.310122e-06

54,58,11650,1.033453e-05

58,56,11461,9.657095e-06

56,58,12026,9.858181e-06

58,58,12195,1.071640e-05

60,22,1914,4.150643e-06

22,60,3633,6.018021e-06

60,24,2143,4.211878e-06

24,60,3888,6.344463e-06

60,26,2393,4.249800e-06

26,60,4479,6.762359e-06

60,28,2692,5.288660e-06

28,60,4831,6.841057e-06

60,30,2954,5.680150e-06

30,60,5361,7.413366e-06

60,32,3276,5.445903e-06

32,60,5822,7.698036e-06

60,34,3549,6.008358e-06

34,60,6401,8.403089e-06

60,36,3855,7.079382e-06

36,60,6801,9.057279e-06

60,38,4195,7.444518e-06

38,60,7496,8.362145e-06

60,40,4536,6.845589e-06

40,60,7778,7.959399e-06

60,42,4857,7.455405e-06

42,60,8579,9.498845e-06

60,44,5216,7.314679e-06

44,60,8962,9.201024e-06

60,46,5558,8.512769e-06

46,60,9661,8.858543e-06

60,48,5922,8.300975e-06

48,60,10050,9.379244e-06

60,50,10509,8.642834e-06

50,60,10887,9.479715e-06

60,52,10832,9.073785e-06

52,60,11369,9.749263e-06

60,54,11614,9.297004e-06

54,60,11850,9.761355e-06

60,56,11824,1.030234e-05

56,60,12243,9.886121e-06

60,58,12565,0.998877e-05

58,60,12772,1.103383e-05

60,60,12801,1.074773e-05

62,22,1962,4.025314e-06

22,62,3669,5.813741e-06

62,24,2205,4.225963e-06

24,62,4077,6.330203e-06

62,26,2463,4.825558e-06

26,62,4533,7.410550e-06

62,28,2747,5.096423e-06

28,62,5032,6.965245e-06

62,30,3105,4.879020e-06

30,62,5438,7.191930e-06

62,32,3368,5.731207e-06

32,62,5995,7.661976e-06

62,34,3687,5.928672e-06

34,62,6496,8.068883e-06

62,36,4006,6.121943e-06

36,62,7097,8.010456e-06

62,38,4343,6.890344e-06

38,62,7526,8.506991e-06

62,40,4681,7.270039e-06

40,62,8194,9.038074e-06

62,42,5030,7.073407e-06

42,62,8693,8.678466e-06

62,44,5408,7.640126e-06

44,62,9402,8.622628e-06

62,46,5795,7.807513e-06

46,62,9851,9.588749e-06

62,48,6141,8.018297e-06

48,62,10573,9.827892e-06

62,50,10806,8.632552e-06

50,62,11506,9.726719e-06

62,52,11182,9.179513e-06

52,62,11993,1.035514e-05

62,54,11904,9.756434e-06

54,62,12456,1.054679e-05

62,56,12189,1.019505e-05

56,62,12950,1.093668e-05

62,58,12944,1.042558e-05

58,62,13465,1.191331e-05

62,60,13195,1.063214e-05

60,62,13935,1.078978e-05

62,62,13925,1.231644e-05

64,24,2275,4.686273e-06

24,64,4142,6.229599e-06

64,26,2548,4.906129e-06

26,64,4820,6.979519e-06

64,28,2833,4.501856e-06

28,64,5130,7.376744e-06

64,30,3131,5.556889e-06

30,64,5687,7.916698e-06

64,32,3465,5.965313e-06

32,64,6048,8.479100e-06

64,34,3775,6.845649e-06

34,64,6796,8.628846e-06

64,36,4142,6.547384e-06

36,64,7213,8.255407e-06

64,38,4482,7.094541e-06

38,64,7887,8.356356e-06

64,40,4842,7.330274e-06

40,64,8296,9.528347e-06

64,42,5207,7.850617e-06

42,64,9123,9.292777e-06

64,44,5592,7.550694e-06

44,64,9557,9.564515e-06

64,46,5976,8.104736e-06

46,64,10352,9.863576e-06

64,48,6369,8.114176e-06

48,64,10752,1.084031e-05

64,50,11089,8.882959e-06

50,64,11689,1.073327e-05

64,52,11570,9.321358e-06

52,64,12198,1.076977e-05

64,54,12239,1.007850e-05

54,64,12698,1.088355e-05

64,56,12542,9.796590e-06

56,64,13150,1.055100e-05

64,58,13276,1.105079e-05

58,64,13765,1.121277e-05

64,60,13580,1.106586e-05

60,64,14224,1.104585e-05

64,62,14324,1.093358e-05

62,64,14686,1.211985e-05

64,64,14611,1.135861e-05

66,24,2341,4.510002e-06

24,66,4306,6.650801e-06

66,26,2607,5.306272e-06

26,66,4810,7.336325e-06

66,28,2920,5.719087e-06

28,66,5345,7.900996e-06

66,30,3215,5.959027e-06

30,66,5765,7.644689e-06

66,32,3566,6.032373e-06

32,66,6346,7.406191e-06

66,34,3911,6.693798e-06

34,66,6885,8.141661e-06

66,36,4268,7.313827e-06

36,66,7550,8.917293e-06

66,38,4620,7.409732e-06

38,66,8028,9.333014e-06

66,40,5009,7.089072e-06

40,66,8709,1.022981e-05

66,42,5391,7.349257e-06

42,66,9291,9.889603e-06

66,44,5774,7.829599e-06

44,66,10029,9.380112e-06

66,46,6180,7.911369e-06

46,66,10521,0.992558e-05

66,48,6581,8.676342e-06

48,66,11306,9.735981e-06

66,50,11441,7.997864e-06

50,66,12267,1.065794e-05

66,52,11796,9.501236e-06

52,66,12811,1.137485e-05

66,54,12582,1.042719e-05

54,66,13313,1.144788e-05

66,56,12873,9.484360e-06

56,66,13900,1.084013e-05

66,58,13680,1.004902e-05

58,66,14408,1.132700e-05

66,60,13973,1.113346e-05

60,66,14947,1.182657e-05

66,62,14749,1.157014e-05

62,66,15444,1.191465e-05

66,64,15064,1.245963e-05

64,66,15918,1.246119e-05

66,66,15822,1.230801e-05

68,24,2383,4.292439e-06

24,68,4345,7.130973e-06

68,26,2669,4.734241e-06

26,68,4977,7.419275e-06

68,28,2980,4.931142e-06

28,68,5391,7.173007e-06

68,30,3380,5.405170e-06

30,68,6035,8.472842e-06

68,32,3694,5.946074e-06

32,68,6444,8.274542e-06

68,34,4029,6.334299e-06

34,68,7182,7.910942e-06

68,36,4390,6.815496e-06

36,68,7657,8.593835e-06

68,38,4767,7.770494e-06

38,68,8406,8.893649e-06

68,40,5153,7.924496e-06

40,68,8831,1.009279e-05

68,42,5549,8.739303e-06

42,68,9704,9.764979e-06

68,44,5976,9.124607e-06

44,68,10306,1.022273e-05

68,46,6383,8.832065e-06

46,68,11013,1.112029e-05

68,48,6834,8.978351e-06

48,68,11494,1.050800e-05

68,50,11780,9.744664e-06

50,68,12462,1.150296e-05

68,52,12206,9.747987e-06

52,68,13025,1.165869e-05

68,54,12904,1.007791e-05

54,68,13585,1.215038e-05

68,56,13213,1.072603e-05

56,68,14004,1.146404e-05

68,58,14042,1.080102e-05

58,68,14655,1.143883e-05

