M1:

37,40,25,13832

40,37,25,13612

25,40,37,13979

37,25,40,13787

37,40,28,15442

40,37,28,15196

28,40,37,15697

37,28,40,15432

37,40,31,17148

40,37,31,16882

31,40,37,17398

37,31,40,17075

37,40,34,18769

40,37,34,18470

34,40,37,18681

37,34,40,18715

37,40,37,20391

40,37,37,20064

37,37,40,20360

40,40,25,14706

25,40,40,15085

40,25,40,14655

40,40,28,16419

28,40,40,16926

40,28,40,16406

40,40,31,18240

31,40,40,18773

40,31,40,18149

40,40,34,19965

34,40,40,20158

40,34,40,19900

40,40,37,21685

37,40,40,22002

40,37,40,21646

40,40,40,23392

25,43,25,10190

43,25,25,9945

25,25,43,10193

28,43,25,11439

43,28,25,11131

25,43,28,11383

28,25,43,11432

28,43,28,12766

43,28,28,12421

28,28,43,12801

31,43,25,12679

43,31,25,12314

25,43,31,12635

31,25,43,12672

31,43,28,14158

43,31,28,13745

28,43,31,14181

31,28,43,14184

31,43,31,15721

43,31,31,15266

31,31,43,15693

34,43,25,13616

43,34,25,13494

25,43,34,13830

34,25,43,13612

34,43,28,15204

43,34,28,15065

28,43,34,15524

34,28,43,15239

34,43,31,16882

43,34,31,16737

31,43,34,17209

34,31,43,16855

34,43,34,18480

43,34,34,18314

34,34,43,18474

37,43,25,14865

43,37,25,14677

25,43,37,15024

37,25,43,14853

37,43,28,16592

43,37,28,16389

28,43,37,16866

37,28,43,16629

37,43,31,18430

43,37,31,18202

31,43,37,18695

37,31,43,18393

37,43,34,20169

43,37,34,19921

34,43,37,20080

37,34,43,20170

37,43,37,21912

43,37,37,21641

37,37,43,21942

40,43,25,15800

43,40,25,15863

25,43,40,16212

40,25,43,15795

40,43,28,17646

43,40,28,17710

28,43,40,18192

40,28,43,17689

40,43,31,19597

43,40,31,19672

31,43,40,20177

40,31,43,19563

40,43,34,21450

43,40,34,21527

34,43,40,21667

40,34,43,21446

40,43,37,23297

43,40,37,23385

37,43,40,23646

40,37,43,23333

40,43,40,25142

43,40,40,25237

40,40,43,25221

43,43,25,17044

