M1:

[ 0.380002, -0.243142, -0.319746,  0.759988]
41,38,35,1961

35,41,38,1981

38,35,41,1979

38,41,38,2163

41,38,38,2099

38,38,41,2145

41,41,17,1071

17,41,41,1157

41,17,41,1045

41,41,20,1217

20,41,41,1332

41,20,41,1218

41,41,23,1439

23,41,41,1527

41,23,41,1388

41,41,26,1593

26,41,41,1641

41,26,41,1566

41,41,29,1745

29,41,41,1828

41,29,41,1733

41,41,32,1900

32,41,41,1939

41,32,41,1907

41,41,35,2117

35,41,41,2124

41,35,41,2076

41,41,38,2262

38,41,41,2302

41,38,41,2247

41,41,41,2417

17,44,17,556

44,17,17,496

17,17,44,526

20,44,17,638

44,20,17,569

17,44,20,621

20,17,44,610

20,44,20,724

44,20,20,658

20,20,44,716

23,44,17,732

44,23,17,658

17,44,23,738

23,17,44,697

23,44,20,821

44,23,20,751

20,44,23,853

23,20,44,809

23,44,23,974

44,23,23,895

23,23,44,927

26,44,17,782

44,26,17,744

17,44,26,814

26,17,44,747

26,44,20,883

44,26,20,852

20,44,26,946

26,20,44,873

26,44,23,1047

44,26,23,989

23,44,26,1085

26,23,44,996

26,44,26,1159

44,26,26,1099

26,26,44,1109

29,44,17,884

44,29,17,817

17,44,29,890

29,17,44,831

29,44,20,978

44,29,20,946

20,44,29,1033

29,20,44,978

29,44,23,1157

44,29,23,1113

23,44,29,1176

29,23,44,1101

29,44,26,1297

44,29,26,1234

26,44,29,1267

29,26,44,1241

29,44,29,1412

44,29,29,1339

29,29,44,1390

32,44,17,932

44,32,17,915

17,44,32,962

32,17,44,889

32,44,20,1052

44,32,20,1028

20,44,32,1119

32,20,44,1039

32,44,23,1233

44,32,23,1220

23,44,32,1284

32,23,44,1188

32,44,26,1367

44,32,26,1341

26,44,32,1365

32,26,44,1319

32,44,29,1509

44,32,29,1476

29,44,32,1529

32,29,44,1481

32,44,32,1639

44,32,32,1602

32,32,44,1621

35,44,17,1012

44,35,17,981

17,44,35,1090

35,17,44,968

35,44,20,1145

44,35,20,1135

20,44,35,1253

35,20,44,1121

35,44,23,1359

44,35,23,1332

23,44,35,1435

35,23,44,1297

35,44,26,1505

44,35,26,1470

26,44,35,1536

35,26,44,1450

35,44,29,1639

44,35,29,1612

29,44,35,1709

35,29,44,1611

35,44,32,1780

44,35,32,1747

32,44,35,1821

35,32,44,1771

35,44,35,1990

44,35,35,1949

35,35,44,1933

38,44,17,1104

44,38,17,1066

17,44,38,1155

38,17,44,1060

38,44,20,1245

44,38,20,1210

20,44,38,1346

38,20,44,1228

38,44,23,1476

44,38,23,1440

23,44,38,1530

38,23,44,1405

38,44,26,1632

44,38,26,1593

26,44,38,1646

38,26,44,1577

38,44,29,1789

44,38,29,1743

29,44,38,1833

38,29,44,1754

38,44,32,1940

44,38,32,1892

32,44,38,1951

38,32,44,1925

38,44,35,2161

44,38,35,2112

35,44,38,2124

38,35,44,2103

38,44,38,2317

44,38,38,2258

38,38,44,2276

41,44,17,1151

44,41,17,1154

17,44,41,1236

41,17,44,1109

41,44,20,1301

44,41,20,1309

20,44,41,1430

41,20,44,1289

41,44,23,1539

44,41,23,1551

23,44,41,1638

41,23,44,1470

41,44,26,1706

44,41,26,1719

26,44,41,1752

41,26,44,1657

41,44,29,1871

44,41,29,1880

29,44,41,1953

41,29,44,1843

41,44,32,2026

44,41,32,2033

32,44,41,2076

41,32,44,2017

41,44,35,2265

44,41,35,2272

35,44,41,2267

41,35,44,2205

41,44,38,2430

44,41,38,2436

38,44,41,2468

41,38,44,2384

41,44,41,2587

44,41,41,2597

41,41,44,2569

44,44,17,1244

17,44,44,1313

44,17,44,1187

44,44,20,1402

20,44,44,1514

44,20,44,1380

44,44,23,1667

23,44,44,1736

44,23,44,1582

44,44,26,1838

26,44,44,1854

44,26,44,1785

44,44,29,2016

29,44,44,2070

44,29,44,1978

44,44,32,2191

32,44,44,2213

44,32,44,2177

44,44,35,2437

35,44,44,2409

44,35,44,2369

44,44,38,2615

38,44,44,2619

44,38,44,2568

44,44,41,2785

41,44,44,2746

44,41,44,2768

44,44,44,2978

17,47,17,596

47,17,17,531

17,17,47,578

20,47,17,684

47,20,17,619

17,47,20,664

20,17,47,665

20,47,20,774

47,20,20,697

20,20,47,774

23,47,17,777

47,23,17,708

17,47,23,790

23,17,47,752

23,47,20,876

47,23,20,803

20,47,23,910

23,20,47,882

23,47,23,1039

47,23,23,941

23,23,47,1018

26,47,17,827

47,26,17,794

17,47,26,867

26,17,47,812

26,47,20,946

47,26,20,902

20,47,26,1003

26,20,47,959

26,47,23,1107

47,26,23,1074

23,47,26,1146

26,23,47,1083

26,47,26,1240

47,26,26,1175

26,26,47,1209

29,47,17,937

47,29,17,881

17,47,29,947

29,17,47,898

29,47,20,1057

47,29,20,999

20,47,29,1110

29,20,47,1056

29,47,23,1241

47,29,23,1195

23,47,29,1262

29,23,47,1206

29,47,26,1369

47,29,26,1313

26,47,29,1351

29,26,47,1362

29,47,29,1513

47,29,29,1439

29,29,47,1507

32,47,17,988

47,32,17,974

17,47,32,1025

32,17,47,965

32,47,20,1123

47,32,20,1093

20,47,32,1205

32,20,47,1123

32,47,23,1317

47,32,23,1305

23,47,32,1365

32,23,47,1289

32,47,26,1468

47,32,26,1443

26,47,32,1460

32,26,47,1445

32,47,29,1604

47,32,29,1588

29,47,32,1636

32,29,47,1605

32,47,32,1740

47,32,32,1720

32,32,47,1763

35,47,17,1081

47,35,17,1052

17,47,35,1149

35,17,47,1060

35,47,20,1214

47,35,20,1209

20,47,35,1346

35,20,47,1230

35,47,23,1447

47,35,23,1425

23,47,35,1528

35,23,47,1401

35,47,26,1593

47,35,26,1572

26,47,35,1635

35,26,47,1581

35,47,29,1751

47,35,29,1731

29,47,35,1823

35,29,47,1757

35,47,32,1901

47,35,32,1875

32,47,35,1936

35,32,47,1923

35,47,35,2121

47,35,35,2093

35,35,47,2094

38,47,17,1173

47,38,17,1146

17,47,38,1237

38,17,47,1147

38,47,20,1330

47,38,20,1301

20,47,38,1431

38,20,47,1327

38,47,23,1564

47,38,23,1548

23,47,38,1637

38,23,47,1525

38,47,26,1739

47,38,26,1705

26,47,38,1750

38,26,47,1713

38,47,29,1905

47,38,29,1870

29,47,38,1951

38,29,47,1900

38,47,32,2068

47,38,32,2028

32,47,38,2078

38,32,47,2093

38,47,35,2302

47,38,35,2257

35,47,38,2263

38,35,47,2282

38,47,38,2476

47,38,38,2422

38,38,47,2468

41,47,17,1233

47,41,17,1234

17,47,41,1311

41,17,47,1187

41,47,20,1402

47,41,20,1403

20,47,41,1530

41,20,47,1398

41,47,23,1641

47,41,23,1659

23,47,41,1742

41,23,47,1600

41,47,26,1817

47,41,26,1839

26,47,41,1866

41,26,47,1795

41,47,29,1996

47,41,29,2012

29,47,41,2082

41,29,47,1998

41,47,32,2164

47,41,32,2186

32,47,41,2220

41,32,47,2190

41,47,35,2412

47,41,35,2432

35,47,41,2416

41,35,47,2386

41,47,38,2589

47,41,38,2609

38,47,41,2629

41,38,47,2587

41,47,41,2764

47,41,41,2785

41,41,47,2785

44,47,17,1320

47,44,17,1323

17,47,44,1396

44,17,47,1293

44,47,20,1501

47,44,20,1503

20,47,44,1618

44,20,47,1508

44,47,23,1772

47,44,23,1777

23,47,44,1847

44,23,47,1719

44,47,26,1959

47,44,26,1966

26,47,44,1981

44,26,47,1930

44,47,29,2144

47,44,29,2150

29,47,44,2210

44,29,47,2142

44,47,32,2327

47,44,32,2334

32,47,44,2351

44,32,47,2354

44,47,35,2602

47,44,35,2605

35,47,44,2574

44,35,47,2573

44,47,38,2787

47,44,38,2793

38,47,44,2791

44,38,47,2787

44,47,41,2976

47,44,41,2984

41,47,44,2929

44,41,47,2998

44,47,44,3156

47,44,44,3166

44,44,47,3208

47,47,17,1410

17,47,47,1520

47,17,47,1383

47,47,20,1609

20,47,47,1766

47,20,47,1607

47,47,23,1895

23,47,47,2008

47,23,47,1843

47,47,26,2096

26,47,47,2150

47,26,47,2070

47,47,29,2299

29,47,47,2401

47,29,47,2302

47,47,32,2491

32,47,47,2555

47,32,47,2533

47,47,35,2786

35,47,47,2792

47,35,47,2756

47,47,38,2983

38,47,47,3034

47,38,47,2985

47,47,41,3180

41,47,47,3178

47,41,47,3212

47,47,44,3377

44,47,47,3425

47,44,47,3438

47,47,47,3663

20,50,20,840

50,20,20,729

20,20,50,818

23,50,20,934

50,23,20,831

20,50,23,968

23,20,50,933

23,50,23,1103

50,23,23,996

23,23,50,1062

26,50,20,1001

50,26,20,941

20,50,26,1073

26,20,50,996

26,50,23,1182

50,26,23,1115

23,50,26,1220

26,23,50,1132

26,50,26,1321

50,26,26,1234

26,26,50,1288

29,50,20,1117

50,29,20,1038

20,50,29,1183

29,20,50,1111

29,50,23,1313

50,29,23,1235

23,50,29,1341

29,23,50,1272

29,50,26,1463

50,29,26,1370

26,50,29,1436

29,26,50,1433

29,50,29,1606

50,29,29,1495

29,29,50,1587

32,50,20,1198

50,32,20,1144

20,50,32,1272

32,20,50,1195

32,50,23,1408

50,32,23,1356

23,50,32,1451

32,23,50,1360

32,50,26,1557

50,32,26,1498

26,50,32,1552

32,26,50,1522

32,50,29,1708

50,32,29,1645

29,50,32,1730

32,29,50,1693

32,50,32,1850

50,32,32,1786

32,32,50,1860

35,50,20,1306

50,35,20,1264

20,50,35,1429

35,20,50,1298

35,50,23,1539

50,35,23,1475

23,50,35,1616

35,23,50,1472

35,50,26,1697

50,35,26,1634

26,50,35,1733

35,26,50,1663

35,50,29,1859

50,35,29,1797

29,50,35,1933

35,29,50,1847

35,50,32,2015

50,35,32,1946

32,50,35,2054

35,32,50,2032

35,50,35,2250

50,35,35,2173

35,35,50,2215

38,50,20,1417

50,38,20,1363

20,50,38,1526

38,20,50,1410

38,50,23,1667

50,38,23,1596

23,50,38,1735

38,23,50,1606

38,50,26,1845

50,38,26,1772

